TDEE,,2000
Carb Ratio,0.5,1000.0
Protein Ratio,0.25,500.0
Fat Ratio,0.25,500.0
""
Nutrient,RDA,Limit
Protein,125.0,None,64.5
Fat,55.56,None,110.17
Carbs,250.0,None,286.58
Calories,2000,None,2387.9
Water,2000,None,1917.52
Caffeine,None,400,42.4
Theobromine,None,300,63.6
Sugar,None,50.0,115.63
Fiber,28.0,None,13.16
Calcium,1000,2500,979.3
Iron,8,45,14.44
Magnesium,300,700,202.75
Phosphorus,700,4000,1366.25
Potassium,1400,6000,1393.7
Sodium,1000,2300,3585.7
Zinc,12,100,9.71
Copper,0.9,10,0.94
Fluoride,400,10000,1263.5
Manganese,1.8,None,2.88
Selenium,70,400,95.51
Vitamin A,900,20000,1207.2
Vitamin E,15,1000,8.65
Vitamin D,1000,8000,42.0
Vitamin C,90,2000,4.26
Vitamin B-1,1.2,None,1.43
Vitamin B-2,1.3,None,1.38
Vitamin B-3,16,None,18.11
Vitamin B-5,4,None,2.11
Vitamin B-6,1.3,100,0.75
Vitamin B-9,400,1000,184.5
Vitamin B-12,2.4,None,3.66
Choline,550,3500,138.97
Vitamin K,120,None,54.01
Cholesterol,None,300,155.05
Trans Fat,None,2.78,0.11
Saturated Fat,None,16.67,45.03
DHA,0.5,None,0.0
EPA,0.5,None,0.0
Monounsaturated Fat,22.22,None,36.82
Polyunsaturated Fat,16.67,None,17.49
ALA,0.6,None,1.19
